Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C9",0805,2,22uF,C6119899
"C12, C18",0603,2,4.7uF,C19666
C14,0402,1,75pF,C107010
"C15, C19",0402,2,1uF,C14445
"C16, C20, C3",0402,3,100nF,C60474
C17,0805,1,47uF,C16780
C2,1206,1,10uF,C7432781
"C5, C7",0402,2,0.1uF,C152814
CN1,CONN-TH_3P-P1.25_GH1.25,1,WAFER-GH1.25-3PWB,C3029378
"D1, D2",D_SMA,2,SS34,C8678
D3,D_SOD-323F,1,MM3Z10VT1G,C39057
F1,1206,1,CFS12V3T5R0,C163128
FPC1,FPC-SMD_40P-P0.50_AFC24-S40FIA-HF,1,AFC24-S40FIA-HF,C49260550
J1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
"J2, J3, J6",PinHeader_1x09_P2.54mm_Vertical,3,Conn_01x09,
J4,SolderPads_1x1_2.5_3.5,1,+VLIPO,
J5,SolderPads_1x1_2.5_3.5,1,GND,
J8,PinHeader_1x02_P1.27mm_Vertical,1,Conn_01x02,
L2,L_TechFuse_SL0630,1,10uH,C917354
L3,L_Chilisin_BMRB00060612,1,10uH,C128692
Q1,SOT-23,1,AO3400A,C20917
Q2,SOT-23,1,AO3401A,C15127
R1,0402,1,18K,C25762
"R10, R11",0402,2,22,C114765
"R12, R13",0402,2,5.1K,C25905
R17,0402,1,49.9,C87044
"R18, R21",0402,2,100K,C60491
R19,0402,1,13.3K,C2974007
R2,0402,1,2K,C4109
R20,0805,1,1,C2907233
"R3, R4",0402,2,100,C106232
R5,0402,1,10K,C25744
R8,0603,1,511K,C2930114
R9,0603,1,105K,C2933128
U2,SOT-23-6,1,TPS54302,C311983
U3,SOT-666,1,USBLC6-2P6,C15999
"U4, U5, U6",CONN-SMD_4P-P1.25_XUNPU_WAFER-GH1.25-4PWB,3,WAFER-GH1.25-4PWB,C3029379
"U7, U8, U9",CONN-SMD_4P-P1.25_XUNPU_WAFER-GH1.25-4PLB,3,WAFER-GH1.25-4PLB,C3029370
