Designator,Mid X,Mid Y,Rotation,Layer
C11,134.15,-89.3075,0.0,bottom
C12,130.84,-88.74,270.0,bottom
C14,139.43,-90.46,180.0,bottom
C15,128.94,-89.23,270.0,bottom
C16,127.42,-89.15,270.0,bottom
C17,122.76,-75.54,0.0,bottom
C18,122.26,-79.86,270.0,bottom
C19,132.47,-77.8,90.0,bottom
C2,144.925,-78.6075,180.0,bottom
C20,132.52,-80.24,270.0,bottom
C3,151.1,-79.99,270.0,bottom
C5,143.62,-80.6825,180.0,bottom
C7,145.51,-87.2725,0.0,bottom
C9,135.425,-79.3325,180.0,bottom
CN1,156.3275,-89.0525,90.0,top
D1,132.7,-73.65,0.0,bottom
D2,139.61,-75.4925,270.0,bottom
D3,152.5325,-89.54,180.0,bottom
F1,155.0075,-81.34,0.0,bottom
FPC1,140.675,-78.04,180.0,top
J1,141.19,-95.56,0.0,top
J2,140.39,-65.53,270.0,bottom
J3,140.39,-62.99,270.0,bottom
J6,140.39,-68.07,90.0,top
J8,158.19,-82.27,180.0,top
L2,137.5,-84.3325,0.0,bottom
L3,127.65,-82.1575,90.0,bottom
Q1,154.7275,-81.78,270.0,top
Q2,153.5525,-85.7775,270.0,bottom
R1,149.06,-79.32,90.0,bottom
R10,139.1,-83.31,90.0,top
R11,140.2,-83.31,90.0,top
R12,139.73,-90.676912,270.0,top
R13,142.72,-90.676912,270.0,top
R17,137.075,-90.46,0.0,bottom
R18,139.45,-89.3325,0.0,bottom
R19,141.51,-89.3575,0.0,bottom
R2,149.07,-76.55,90.0,bottom
R20,126.72,-75.49,180.0,bottom
R21,155.63,-88.94,270.0,bottom
R3,152.32,-82.2,270.0,top
R4,150.93,-77.95,180.0,bottom
R5,154.26,-84.52,0.0,top
R8,148.575,-83.4325,90.0,bottom
R9,149.375,-86.2075,0.0,bottom
U2,144.7875,-84.3325,0.0,bottom
U3,140.8625,-86.916912,90.0,top
U4,123.9725,-77.975,270.0,top
U5,123.8625,-87.965,270.0,top
U6,156.04,-74.99,90.0,top
U7,148.575,-85.5575,0.0,top
U8,132.185,-94.2,270.0,top
U9,131.78,-84.52,0.0,top
