Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C14, C7",0402,5,1uF,C380294
"C10, C9",0402,2,10nF,C6119808
"C12, C15, C16, C18, C19, C2, C20, C23, C24, C25, C28, C29, C30, C31, C8",0402,15,100nF,C60474
"C17, C26, C6",0402,3,4.7uF,C6119782
"C21, C22, C3, C4",0402,4,2.2uF,C20539421
C27,0402,1,10uF,C15525
C5,0402,1,0.1uF,C152814
"D1, D2",0402,2,LED4,C965793
FB1,0603,1,601T05,C133937
"FB2, FB3, FB4, FB5, FB6, FB7",0402,6,FerriteBead,C76884
FPC1,FPC-SMD_40P-P0.50_AFC24-S40FIA-HF,1,AFC24-S40FIA-HF,C49260550
"R1, R2, R3, R6",0402,4,10K,C25744
"R10, R11, R12, R13, R7, R8",0402,6,47K,C25133
"R4, R5",0402,2,120,C25079
R9,0402,1,22,C114765
SD1,TF-SMD_HYCW104-TF08-375B,1,TF-027-H300,C5310495
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.0mm,5,TestPoint,
U1,SOT-23-8,1,TCAN334G,C191005
"U10, U11, U12, U13",CONN-SMD_4P-P1.25_XUNPU_WAFER-GH1.25-4PWB,4,WAFER-GH1.25-4PWB,C3029379
U2,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,C114409
U3,SOT-23-5,1,NCP163ASN330T1G,C603656
U4,LGA-8_3x5mm_P1.25mm,1,MS5611-01BA,C15639
"U5, U6",LGA-14_L3.0-W2.5-P0.50-TL,2,ICM-42688-P,C1850418
U7,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVS,C97521
U8,TSOT-23-5,1,RT9080-33GJ5,C841192
U9,LGA-16_L4.5-W3.0-P0.50-BL,1,BMI088,C194919
Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,25 MHz,C3034302
