Designator,Mid X,Mid Y,Rotation,Layer
C1,126.27,-65.25,270.0,top
C10,135.0,-79.5,270.0,top
C11,136.97,-63.04,0.0,top
C12,121.34,-59.9,0.0,top
C13,131.81,-59.84,90.0,top
C14,115.85,-80.05,0.0,top
C15,115.02,-67.64,90.0,bottom
C16,115.230589,-83.270589,45.0,bottom
C17,136.93,-63.88,180.0,bottom
C18,121.52,-80.415,270.0,top
C19,134.95,-74.66,0.0,top
C2,126.06,-68.34,90.0,top
C20,130.27,-86.57,0.0,bottom
C21,124.12,-80.415,270.0,top
C22,131.35,-74.68,180.0,top
C23,131.09,-67.9,90.0,bottom
C24,124.67,-73.42,45.0,top
C25,111.53,-63.57,180.0,top
C26,120.5,-72.71,180.0,top
C27,137.559411,-59.790589,135.0,bottom
C28,136.9,-62.68,180.0,bottom
C29,124.26,-70.572164,270.0,top
C3,131.91,-84.8,90.0,bottom
C30,116.85,-89.55,0.0,bottom
C31,120.18,-63.49,180.0,top
C4,118.14,-86.15,90.0,bottom
C5,109.68,-74.663641,180.0,bottom
C6,109.69,-75.79,180.0,bottom
C7,128.53,-63.02,180.0,bottom
C8,128.75,-64.13,180.0,bottom
C9,120.5,-78.63,270.0,top
D1,107.15,-78.78,90.0,top
D2,108.65,-78.775,90.0,top
FB1,127.26,-60.7675,270.0,bottom
FB2,119.6,-77.0,0.0,top
FB3,122.82,-80.415,90.0,top
FB4,135.5,-77.9,180.0,top
FB5,133.2,-74.2,270.0,top
FB6,122.0,-63.3,270.0,top
FB7,123.06,-70.592164,90.0,top
FPC1,137.47,-77.87,270.0,bottom
R1,129.01,-63.02,270.0,top
R10,118.74,-88.14,0.0,top
R11,116.4,-90.34,90.0,top
R12,120.92,-91.73,0.0,top
R13,112.94,-82.72,180.0,bottom
R2,115.45,-78.45,90.0,top
R3,110.1,-80.35,90.0,top
R4,107.16,-81.21,270.0,top
R5,108.64,-81.19,270.0,top
R6,109.78,-74.51,90.0,top
R7,118.73,-85.6,0.0,top
R8,118.75,-86.82,0.0,top
R9,116.52,-91.17,180.0,bottom
SD1,111.85,-89.65,270.0,bottom
SW1,130.2,-67.65,0.0,top
U1,110.7475,-72.305,180.0,bottom
U10,106.6925,-92.115,270.0,top
U11,106.4925,-62.465,270.0,top
U12,138.5375,-68.025,90.0,top
U13,138.3875,-92.505,90.0,top
U2,123.15,-75.675,180.0,bottom
U3,133.97,-62.2225,270.0,top
U4,112.625,-77.975,180.0,top
U5,122.54,-77.45,270.0,top
U6,132.44,-77.45,90.0,top
U7,113.4,-69.4,270.0,top
U8,133.94,-62.2325,270.0,bottom
U9,122.5,-67.5,90.0,top
Y1,121.24,-61.15,315.0,bottom
