Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1.2pF,C5186867
C10,0402,1,220pF,C597026
"C11, C16, C26",0402,3,1uF,C5137474
"C12, C13",0402,2,4.7uF,C22399610
"C17, C18, C21, C22, C23, C7, C8, C9",0402,8,100nF,C60474
"C19, C20",0402,2,3.3pF,C5448815
"C24, C25",0402,2,12pF,C106201
C27,0402,1,0.3pF,C1870422
"C3, C4",0402,2,1.8pF,C301970
C5,0402,1,10pF,C513681
C6,0402,1,4.7uF,C33595851
D1,LED-SMD_4P-L1.0-W1.0-TL_XL-1010RGBC-WS2812B,1,XL-1010RGBC-WS2812B,C5349953
"JP1, JP2",RF-SMD_FRF05002-JSS103M,2,U.FL-R-SMT-1,C88374
L1,0402,1,3nH,C269824
L2,0402,1,4.7nH,C167480
L3,0603,1,10uH,C194437
L4,0402,1,2.2nH,C97985
"R1, R2",0402,2,100K,C60491
R3,0402,1,220,C112291
"R4, R5, R6, R7",0402,4,10K,C22404129
T1,FILTER-SMD_10P-L2.0-W1.6-BL,1,0900PC16J0042001E,C19842466
U1,QFN-32_L5.0-W5.0-P0.50-BL-EP3.7,1,LR1121IMLTRT,C7498014
U2,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,RFX2401C,C19213
U3,QFN-12_L2.0-W2.0-P0.50-BL-EP,1,SKY13373-460LF,C150853
U4,QFN-32_L5.0-W5.0-P0.50-BL-EP3.7,1,ESP32-C3FH4,C7498014
U6,OSC-SMD_4P-L3.2-W2.5-BL,1,OW2EL89CENUXFMYLC-32M,C22434888
U7,ANT-SMD_L3.2-W1.6,1,ANT3216LL00R2400A,C293767
U8,SW-SMD_4P-L3.0-W2.0-P0.85-LS3.5,1,TS2306A 240GF MSM 9_C2976675,C2976675
U9,SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,CJ6109B33M,C17703066
USB1,FILTER-SMD_4P-L1.0-W0.5-L_DEA102700LT-XXX,1,DEA102700LT-6307A2,C574024
X1,CRYSTAL-SMD_4P-L1.6-W1.2-BL,1,CJ17-400001010B20,C2875272
